Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	Q9Y276	BCS1L	BCS1_HUMAN
TM.protein	Q19T08	ECSCR	ECSCR_HUMAN
TM.protein	P0C7M8	CLEC2L	CLC2L_HUMAN
TM.protein	A6NIL9	CRYM-AS1	Other
TM.protein	Q6NT55	CYP4F22	CP4FN_HUMAN
TM.protein	P61566	ERVK-24	ENK24_HUMAN
TM.protein	Q92643	PIGK	GPI8_HUMAN
TM.protein	A6NC97	FAM172BP	ARB2P_HUMAN
TM.protein	O00519	FAAH	FAAH1_HUMAN
TM.protein	P58550	FXYD6P3	FXYD8_HUMAN
TM.protein	Q6ZUT9	DENND5B	DEN5B_HUMAN
TM.protein	Q8NDB6	FAM156A	FA156_HUMAN
TM.protein	Q15884	FAM189A2	EREP1_HUMAN
TM.protein	Q76MJ5	ERN2	ERN2_HUMAN
TM.protein	Q99518	FMO2	FMO2_HUMAN
TM.protein	P49326	FMO5	FMO5_HUMAN
TM.protein	A0AVI2	FER1L5	FR1L5_HUMAN
TM.protein	Q8TCZ2	CD99L2	C99L2_HUMAN
TM.protein	Q9BWL3	C1orf43	CA043_HUMAN
TM.protein	Q86XL3	ANKLE2	ANKL2_HUMAN
TM.protein	Q8WV48	CCDC107	CC107_HUMAN
TM.protein	P21397	MAOA	AOFA_HUMAN
TM.protein	Q86W74	ANKRD46	ANR46_HUMAN
TM.protein	F7VJQ1	PRNP	APRIO_HUMAN
TM.protein	A8K4G0	CD300LB	CLM7_HUMAN
TM.protein	P03928	MT-ATP8	ATP8_HUMAN
TM.protein	Q8N4C9	C17orf78	CQ078_HUMAN
TM.protein	Q9BSJ5	C17orf80	CQ080_HUMAN
TM.protein	A0A1B0GUU1	C17orf113	CQ113_HUMAN
TM.protein	O60238	BNIP3L	BNI3L_HUMAN
TM.protein	Q9GZT6	CCDC90B	CC90B_HUMAN
TM.protein	P20963	CD247	CD3Z_HUMAN
TM.protein	Q8N326	RPP38-DT	CJ111_HUMAN
TM.protein	Q8N1L4	CYP4Z2P	CP4Z2_HUMAN
TM.protein	P37059	HSD17B2	DHB2_HUMAN
TM.protein	Q9NX77	ERVK13-1	ENK13_HUMAN
TM.protein	Q8WU67	ABHD3	ABHD3_HUMAN
TM.protein	Q3B7T3	BEAN1	BEAN1_HUMAN
TM.protein	O95573	ACSL3	ACSL3_HUMAN
TM.protein	Q96CP6	GRAMD1A	ASTRA_HUMAN
TM.protein	Q86V35	CABP7	CABP7_HUMAN
TM.protein	P07766	CD3E	CD3E_HUMAN
TM.protein	A8MTT3	CEBPZOS	CEBOS_HUMAN
TM.protein	P14209	CD99	CD99_HUMAN
TM.protein	Q9BV87	CNPPD1	CNPD1_HUMAN
TM.protein	Q96A26	FAM162A	F162A_HUMAN
TM.protein	Q8WVX9	FAR1	FACR1_HUMAN
TM.protein	Q8IUY3	GRAMD2A	GRM2A_HUMAN
TM.protein	P56378	ATP5MJ	ATP68_HUMAN
TM.protein	Q9UMX3	BOK	BOK_HUMAN
TM.protein	P51648	ALDH3A2	AL3A2_HUMAN
TM.protein	Q9UKB5	AJAP1	AJAP1_HUMAN
TM.protein	Q8N7S6	ARIH2OS	ARI2O_HUMAN
TM.protein	A6NF34	ANTXRL	ANTRL_HUMAN
TM.protein	Q8IVJ8	APRG1	APRG1_HUMAN
TM.protein	Q6PJW8	CNST	CNST_HUMAN
TM.protein	Q9NPU4	C14orf132	CN132_HUMAN
TM.protein	O15155	BET1	BET1_HUMAN
TM.protein	Q9ULG6	CCPG1	CCPG1_HUMAN
TM.protein	Q6ZWL3	CYP4V2	CP4V2_HUMAN
TM.protein	Q8N118	CYP4X1	CP4X1_HUMAN
TM.protein	Q86W10	CYP4Z1	CP4Z1_HUMAN
TM.protein	P13073	COX4I1	COX41_HUMAN
TM.protein	A4FU28	CTAGE9	CTGE9_HUMAN
